alpha,run,eps,min_samples,mi_A,mi_B,mi_C,mi_D,polarization_mean
0.01,4,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,5,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,6,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,7,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,8,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,9,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,10,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,11,15.0,5,0.0,0.0,0.19919358730129755,0.19919358730129755,0.029425438070980376
0.01,12,15.0,5,0.0,0.0,0.3142472433159303,0.3142472433159303,0.056079475178828345
0.01,13,15.0,5,0.0,0.0,0.3142472433159303,0.3142472433159303,0.056079475178828345
0.01,14,15.0,5,0.0,0.0,0.3142472433159303,0.3142472433159303,0.056079475178828345
0.01,15,15.0,5,0.0,0.0,0.3142472433159303,0.3142472433159303,0.056079475178828345
0.01,16,15.0,5,0.0,0.0,0.3142472433159303,0.3142472433159303,0.056079475178828345
0.01,17,15.0,5,0.0,0.0,0.3142472433159303,0.3142472433159303,0.056079475178828345
0.01,18,15.0,5,0.0,0.0,0.3142472433159303,0.3142472433159303,0.056079475178828345
0.01,19,15.0,5,0.0,0.0,0.3142472433159303,0.3142472433159303,0.056079475178828345
0.02,0,15.0,5,0.03198404247769135,0.0,0.2162177381850951,0.2162177381850951,0.07428252262067671
0.02,1,15.0,5,0.03198404247769135,0.0,0.2162177381850951,0.2162177381850951,0.07428252262067671
0.02,2,15.0,5,0.03198404247769135,0.0,0.2162177381850951,0.2162177381850951,0.07428252262067671
0.02,3,15.0,5,0.03198404247769135,0.0,0.2162177381850951,0.2162177381850951,0.07428252262067671
0.02,4,15.0,5,0.03198404247769135,0.0,0.2162177381850951,0.2162177381850951,0.07428252262067671
0.02,5,15.0,5,0.03198404247769135,0.0,0.2162177381850951,0.2162177381850951,0.07428252262067671
0.02,6,15.0,5,0.03198404247769135,0.0,0.2162177381850951,0.2162177381850951,0.07428252262067671
0.02,7,15.0,5,0.03198404247769135,0.0,0.2162177381850951,0.2162177381850951,0.07428252262067671
0.02,8,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,9,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,10,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,11,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,12,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,13,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,14,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,15,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,16,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,17,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,18,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.02,19,15.0,5,0.09332072492132648,0.0,0.41298470347786126,0.41298470347786126,0.17426685316850832
0.03,0,15.0,5,0.12539879750797822,0.0,0.41144371523530016,0.41144371523530016,0.1859222057320322
0.03,1,15.0,5,0.12539879750797822,0.0,0.41144371523530016,0.41144371523530016,0.1859222057320322
0.03,2,15.0,5,0.12539879750797822,0.0,0.41144371523530016,0.41144371523530016,0.1859222057320322
0.03,3,15.0,5,0.12539879750797822,0.0,0.41144371523530016,0.41144371523530016,0.1859222057320322
