alpha,run,te_delta,substrate_robustness,polarization_mean,variant_te_deltas
0.6000000000000001,0,0.8110583070711342,0.9998375709034322,0.4050541164804547,"[np.float64(0.8113384967617913), np.float64(0.8114102961099302), np.float64(0.8112500414749207)]"
0.6000000000000001,1,0.8110583070711342,0.9998375709034322,0.4050541164804547,"[np.float64(0.8113384967617913), np.float64(0.8114102961099302), np.float64(0.8112500414749207)]"
0.6000000000000001,2,0.8110583070711342,0.9998375709034322,0.4050541164804547,"[np.float64(0.8113384967617913), np.float64(0.8114102961099302), np.float64(0.8112500414749207)]"
0.6000000000000001,3,0.8110583070711342,0.9998375709034322,0.4050541164804547,"[np.float64(0.8113384967617913), np.float64(0.8114102961099302), np.float64(0.8112500414749207)]"
0.6000000000000001,4,0.8117950249919408,0.9996165728276303,0.18106730911075886,"[np.float64(0.8116950144663749), np.float64(0.8117246528410339), np.float64(0.8110245178080117)]"
0.6000000000000001,5,0.8117950249919408,0.9996165728276303,0.18106730911075886,"[np.float64(0.8116950144663749), np.float64(0.8117246528410339), np.float64(0.8110245178080117)]"
0.6000000000000001,6,0.8117950249919408,0.9996165728276303,0.18106730911075886,"[np.float64(0.8116950144663749), np.float64(0.8117246528410339), np.float64(0.8110245178080117)]"
0.6000000000000001,7,0.8117950249919408,0.9996165728276303,0.18106730911075886,"[np.float64(0.8116950144663749), np.float64(0.8117246528410339), np.float64(0.8110245178080117)]"
0.6000000000000001,8,0.8117950249919408,0.9996165728276303,0.18106730911075886,"[np.float64(0.8116950144663749), np.float64(0.8117246528410339), np.float64(0.8110245178080117)]"
0.6000000000000001,9,0.8117950249919408,0.9996165728276303,0.18106730911075886,"[np.float64(0.8116950144663749), np.float64(0.8117246528410339), np.float64(0.8110245178080117)]"
0.7000000000000001,0,0.8118460386952923,0.9996042698899426,0.2248391557439952,"[np.float64(0.8116054065620949), np.float64(0.8117206334995026), np.float64(0.8110088689021324)]"
0.7000000000000001,1,0.8118460386952923,0.9996042698899426,0.2248391557439952,"[np.float64(0.8116054065620949), np.float64(0.8117206334995026), np.float64(0.8110088689021324)]"
0.7000000000000001,2,0.8115976403678251,0.9995566457302898,0.2808254944016062,"[np.float64(0.8112795402279896), np.float64(0.8117806238710756), np.float64(0.8108323936150771)]"
0.7000000000000001,3,0.8115976403678251,0.9995566457302898,0.2808254944016062,"[np.float64(0.8112795402279896), np.float64(0.8117806238710756), np.float64(0.8108323936150771)]"
0.7000000000000001,4,0.8115976403678251,0.9995566457302898,0.2808254944016062,"[np.float64(0.8112795402279896), np.float64(0.8117806238710756), np.float64(0.8108323936150771)]"
0.7000000000000001,5,0.8115976403678251,0.9995566457302898,0.2808254944016062,"[np.float64(0.8112795402279896), np.float64(0.8117806238710756), np.float64(0.8108323936150771)]"
0.7000000000000001,6,0.8115976403678251,0.9995566457302898,0.2808254944016062,"[np.float64(0.8112795402279896), np.float64(0.8117806238710756), np.float64(0.8108323936150771)]"
0.7000000000000001,7,0.8115976403678251,0.9995566457302898,0.2808254944016062,"[np.float64(0.8112795402279896), np.float64(0.8117806238710756), np.float64(0.8108323936150771)]"
0.7000000000000001,8,0.8115976403678251,0.9995566457302898,0.2808254944016062,"[np.float64(0.8112795402279896), np.float64(0.8117806238710756), np.float64(0.8108323936150771)]"
