alpha,run,te_delta,substrate_robustness,polarization_mean,variant_te_deltas
0.1,2,0.8552301064279988,0.999930429937604,0.08212923758866121,"[np.float64(0.8551647936775376), np.float64(0.8551243740214414), np.float64(0.8550668556120855)]"
0.1,3,0.8552301064279988,0.999930429937604,0.08212923758866121,"[np.float64(0.8551647936775376), np.float64(0.8551243740214414), np.float64(0.8550668556120855)]"
0.1,4,0.8552301064279988,0.999930429937604,0.08212923758866121,"[np.float64(0.8551647936775376), np.float64(0.8551243740214414), np.float64(0.8550668556120855)]"
0.1,5,0.8552301064279988,0.999930429937604,0.08212923758866121,"[np.float64(0.8551647936775376), np.float64(0.8551243740214414), np.float64(0.8550668556120855)]"
0.1,6,0.8551655188271253,0.9999629508450056,0.038555954161614635,"[np.float64(0.8551294986934789), np.float64(0.8552167756430039), np.float64(0.8551855664709879)]"
0.1,7,0.8551655188271253,0.9999629508450056,0.038555954161614635,"[np.float64(0.8551294986934789), np.float64(0.8552167756430039), np.float64(0.8551855664709879)]"
0.1,8,0.8551655188271253,0.9999629508450056,0.038555954161614635,"[np.float64(0.8551294986934789), np.float64(0.8552167756430039), np.float64(0.8551855664709879)]"
0.1,9,0.8551655188271253,0.9999629508450056,0.038555954161614635,"[np.float64(0.8551294986934789), np.float64(0.8552167756430039), np.float64(0.8551855664709879)]"
0.2,0,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,1,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,2,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,3,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,4,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,5,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,6,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,7,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,8,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.2,9,0.8551701904447038,0.9999543670384818,0.08062319049260064,"[np.float64(0.855068836476371), np.float64(0.8551443569544948), np.float64(0.8551547064935583)]"
0.30000000000000004,0,0.8551911103117437,0.999931146240437,0.16389384104037727,"[np.float64(0.8550260895799333), np.float64(0.8551029385394714), np.float64(0.8551241867722366)]"
0.30000000000000004,1,0.8551911103117437,0.999931146240437,0.16389384104037727,"[np.float64(0.8550260895799333), np.float64(0.8551029385394714), np.float64(0.8551241867722366)]"
0.30000000000000004,2,0.8552217366330263,0.9999431169981827,0.14577308086018997,"[np.float64(0.8551021109534154), np.float64(0.8551085959232949), np.float64(0.8551206690208603)]"
0.30000000000000004,3,0.8552217366330263,0.9999431169981827,0.14577308086018997,"[np.float64(0.8551021109534154), np.float64(0.8551085959232949), np.float64(0.8551206690208603)]"
0.30000000000000004,4,0.8552217366330263,0.9999431169981827,0.14577308086018997,"[np.float64(0.8551021109534154), np.float64(0.8551085959232949), np.float64(0.8551206690208603)]"
0.30000000000000004,5,0.8552217366330263,0.9999431169981827,0.14577308086018997,"[np.float64(0.8551021109534154), np.float64(0.8551085959232949), np.float64(0.8551206690208603)]"
0.30000000000000004,6,0.8552217366330263,0.9999431169981827,0.14577308086018997,"[np.float64(0.8551021109534154), np.float64(0.8551085959232949), np.float64(0.8551206690208603)]"
0.30000000000000004,7,0.8552217366330263,0.9999431169981827,0.14577308086018997,"[np.float64(0.8551021109534154), np.float64(0.8551085959232949), np.float64(0.8551206690208603)]"
0.30000000000000004,8,0.8552217366330263,0.9999431169981827,0.14577308086018997,"[np.float64(0.8551021109534154), np.float64(0.8551085959232949), np.float64(0.8551206690208603)]"
0.30000000000000004,9,0.8552217366330263,0.9999431169981827,0.14577308086018997,"[np.float64(0.8551021109534154), np.float64(0.8551085959232949), np.float64(0.8551206690208603)]"
0.4,0,0.8551739020631249,0.9999579929238701,0.12190762242806004,"[np.float64(0.8551069824123305), np.float64(0.8550865987460569), np.float64(0.8550861744945724)]"
0.4,1,0.8551739020631249,0.9999579929238701,0.12190762242806004,"[np.float64(0.8551069824123305), np.float64(0.8550865987460569), np.float64(0.8550861744945724)]"
0.4,2,0.8551739020631249,0.9999579929238701,0.12190762242806004,"[np.float64(0.8551069824123305), np.float64(0.8550865987460569), np.float64(0.8550861744945724)]"
0.4,3,0.8551739020631249,0.9999579929238701,0.12190762242806004,"[np.float64(0.8551069824123305), np.float64(0.8550865987460569), np.float64(0.8550861744945724)]"
0.4,4,0.8551739020631249,0.9999579929238701,0.12190762242806004,"[np.float64(0.8551069824123305), np.float64(0.8550865987460569), np.float64(0.8550861744945724)]"
0.4,5,0.8551739020631249,0.9999579929238701,0.12190762242806004,"[np.float64(0.8551069824123305), np.float64(0.8550865987460569), np.float64(0.8550861744945724)]"
0.4,6,0.8551739020631249,0.9999579929238701,0.12190762242806004,"[np.float64(0.8551069824123305), np.float64(0.8550865987460569), np.float64(0.8550861744945724)]"
0.4,7,0.8551739020631249,0.9999579929238701,0.12190762242806004,"[np.float64(0.8551069824123305), np.float64(0.8550865987460569), np.float64(0.8550861744945724)]"
0.4,8,0.8552417008831453,0.9999171698089153,0.08085656319388475,"[np.float64(0.8550562169990151), np.float64(0.8550841215097154), np.float64(0.8551365216090416)]"
0.4,9,0.8552417008831453,0.9999171698089153,0.08085656319388475,"[np.float64(0.8550562169990151), np.float64(0.8550841215097154), np.float64(0.8551365216090416)]"
0.5,0,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,1,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,2,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,3,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,4,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,5,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,6,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,7,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,8,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.5,9,0.8552588114063031,0.9999004941933677,0.06831832526551075,"[np.float64(0.8550223432769409), np.float64(0.8551019737481177), np.float64(0.8551242050492343)]"
0.6000000000000001,0,0.8552846002406652,0.9998708316878517,0.07595017139616231,"[np.float64(0.8549961318724744), np.float64(0.8550879445761488), np.float64(0.8552074651971198)]"
0.6000000000000001,1,0.8552846002406652,0.9998708316878517,0.07595017139616231,"[np.float64(0.8549961318724744), np.float64(0.8550879445761488), np.float64(0.8552074651971198)]"
0.6000000000000001,2,0.8552846002406652,0.9998708316878517,0.07595017139616231,"[np.float64(0.8549961318724744), np.float64(0.8550879445761488), np.float64(0.8552074651971198)]"
0.6000000000000001,3,0.8552846002406652,0.9998708316878517,0.07595017139616231,"[np.float64(0.8549961318724744), np.float64(0.8550879445761488), np.float64(0.8552074651971198)]"
0.6000000000000001,4,0.8551194854102311,0.9999158424187631,0.16586624423377666,"[np.float64(0.8551899295447702), np.float64(0.8551156577325834), np.float64(0.8552932202443266)]"
0.6000000000000001,5,0.8551194854102311,0.9999158424187631,0.16586624423377666,"[np.float64(0.8551899295447702), np.float64(0.8551156577325834), np.float64(0.8552932202443266)]"
0.6000000000000001,6,0.8551194854102311,0.9999158424187631,0.16586624423377666,"[np.float64(0.8551899295447702), np.float64(0.8551156577325834), np.float64(0.8552932202443266)]"
0.6000000000000001,7,0.8551194854102311,0.9999158424187631,0.16586624423377666,"[np.float64(0.8551899295447702), np.float64(0.8551156577325834), np.float64(0.8552932202443266)]"
0.6000000000000001,8,0.8551194854102311,0.9999158424187631,0.16586624423377666,"[np.float64(0.8551899295447702), np.float64(0.8551156577325834), np.float64(0.8552932202443266)]"
